H:M:S,demand,CAISO
0:00:00,13.18024651,22500
0:15:00,12.70400381,22125
0:30:00,12.38301407,21750
0:45:00,12.63283623,21375
1:00:00,11.72627605,21000
1:15:00,12.03439871,20700
1:30:00,12.07166758,20400
1:45:00,11.32425466,20100
2:00:00,11.70588339,19800
2:15:00,11.16085181,19650
2:30:00,11.95807911,19500
2:45:00,11.51593838,19350
3:00:00,12.2594413,19200
3:15:00,12.38601758,19175
3:30:00,11.43716632,19150
3:45:00,11.36885647,19125
4:00:00,10.80992491,19100
4:15:00,11.1943531,19225
4:30:00,11.44782156,19350
4:45:00,11.0980182,19475
5:00:00,11.13189017,19600
5:15:00,11.74449083,19925
5:30:00,11.69513723,20250
5:45:00,11.87077731,20575
6:00:00,11.39837131,20900
6:15:00,12.52557049,21325
6:30:00,13.46536573,21750
6:45:00,16.73037508,22175
7:00:00,19.48027961,22600
7:15:00,21.02861589,23100
7:30:00,22.541291,23600
7:45:00,23.7062445,24100
8:00:00,24.26967884,24600
8:15:00,25.20459124,24825
8:30:00,26.17041061,25050
8:45:00,26.88849791,25275
9:00:00,30.1888942,25500
9:15:00,32.12446806,25675
9:30:00,34.09013227,25850
9:45:00,35.78668366,26025
10:00:00,37.7413845,26200
10:15:00,39.12678626,26325
10:30:00,40.39643365,26450
10:45:00,41.19587386,26575
11:00:00,43.2440017,26700
11:15:00,45.70912876,26750
11:30:00,47.35673854,26800
11:45:00,48.55637874,26850
12:00:00,48.23456715,26900
12:15:00,47.55336419,26925
12:30:00,46.94791883,26950
12:45:00,45.50597567,26975
13:00:00,44.80141298,27000
13:15:00,44.31755478,27050
13:30:00,44.01159277,27100
13:45:00,43.5395615,27150
14:00:00,42.47751847,27200
14:15:00,42.01803324,27225
14:30:00,40.16115592,27250
14:45:00,38.79314513,27275
15:00:00,37.31695564,27300
15:15:00,37.12437296,27375
15:30:00,35.60189341,27450
15:45:00,35.44187039,27525
16:00:00,34.63832256,27600
16:15:00,33.25915858,27575
16:30:00,33.74015169,27550
16:45:00,34.65457555,27525
17:00:00,33.63725078,27500
17:15:00,33.25585213,27475
17:30:00,32.12531625,27450
17:45:00,31.44098071,27425
18:00:00,31.01892078,27400
18:15:00,30.16778175,27375
18:30:00,30.1611383,27350
18:45:00,29.68525665,27325
19:00:00,29.67025122,27300
19:15:00,28.87986059,27375
19:30:00,27.64589386,27450
19:45:00,26.4530752,27525
20:00:00,25.69159599,27600
20:15:00,24.95163821,27900
20:30:00,24.26564853,28200
20:45:00,22.74343313,28500
21:00:00,22.25027022,28800
21:15:00,21.55502746,28450
21:30:00,22.24789779,28100
21:45:00,21.63735097,27750
22:00:00,20.21933417,27400
22:15:00,19.12577964,26825
22:30:00,19.0524075,26250
22:45:00,18.42600836,25675
23:00:00,17.28773107,25100
23:15:00,15.43207463,24625
23:30:00,15.46449731,24150
23:45:00,14.67904272,23675
,,23200
